"","rowname","variable","value","geoid"
"495","I.9","hh5",0,"51059980100"
"496","I.1","hh1",0,"51059492500"
"497","I.2","hh1",18.949,"51059492500"
"498","I.3","hh1",9.602,"51059492500"
"499","I.4","hh1",10.948,"51059492500"
"500","I.5","hh1",16.992,"51059492500"
"501","I.6","hh1",19.419,"51059492500"
"502","I.7","hh1",73.448,"51059492500"
"503","I.8","hh1",40.684,"51059492500"
"504","I.9","hh1",67.959,"51059492500"
"505","I.1","hh2",0,"51059492500"
"506","I.2","hh2",11.572,"51059492500"
"507","I.3","hh2",3.654,"51059492500"
"508","I.4","hh2",7.137,"51059492500"
"509","I.5","hh2",11.808,"51059492500"
"510","I.6","hh2",23.197,"51059492500"
"511","I.7","hh2",91.878,"51059492500"
"512","I.8","hh2",116.951,"51059492500"
"513","I.9","hh2",390.803,"51059492500"
"514","I.1","hh3",0,"51059492500"
"515","I.2","hh3",1.479,"51059492500"
"516","I.3","hh3",3.497,"51059492500"
"517","I.4","hh3",3.37,"51059492500"
"518","I.5","hh3",5.833,"51059492500"
"519","I.6","hh3",10.979,"51059492500"
"520","I.7","hh3",22.404,"51059492500"
"521","I.8","hh3",23.235,"51059492500"
"522","I.9","hh3",78.204,"51059492500"
"523","I.1","hh4",0,"51059492500"
"524","I.2","hh4",1.794,"51059492500"
"525","I.3","hh4",1.787,"51059492500"
"526","I.4","hh4",2.917,"51059492500"
"527","I.5","hh4",4.31,"51059492500"
"528","I.6","hh4",12.132,"51059492500"
"529","I.7","hh4",32.531,"51059492500"
"530","I.8","hh4",23.769,"51059492500"
"531","I.9","hh4",89.759,"51059492500"
"532","I.1","hh5",0,"51059492500"
"533","I.2","hh5",2.206,"51059492500"
"534","I.3","hh5",4.461,"51059492500"
"535","I.4","hh5",5.628,"51059492500"
"536","I.5","hh5",4.057,"51059492500"
"537","I.6","hh5",12.273,"51059492500"
"538","I.7","hh5",31.739,"51059492500"
"539","I.8","hh5",38.361,"51059492500"
"540","I.9","hh5",92.274,"51059492500"
"541","I.1","hh1",27.59,"51059492400"
"542","I.2","hh1",29.546,"51059492400"
