"rowname","variable","value","geoid"
"I.2","hh5",3.027,"51610500300"
"I.3","hh5",0,"51610500300"
"I.4","hh5",2.507,"51610500300"
"I.5","hh5",6.834,"51610500300"
"I.6","hh5",7.928,"51610500300"
"I.7","hh5",29.812,"51610500300"
"I.8","hh5",20.424,"51610500300"
"I.9","hh5",94.25,"51610500300"
"I.1","hh1",76.326,"51610500200"
"I.2","hh1",11.52,"51610500200"
"I.3","hh1",51.06,"51610500200"
"I.4","hh1",63.203,"51610500200"
"I.5","hh1",117.69,"51610500200"
"I.6","hh1",163.93,"51610500200"
"I.7","hh1",132.989,"51610500200"
"I.8","hh1",105.834,"51610500200"
"I.9","hh1",64.448,"51610500200"
"I.1","hh2",14.837,"51610500200"
"I.2","hh2",2.983,"51610500200"
"I.3","hh2",35.173,"51610500200"
"I.4","hh2",23.897,"51610500200"
"I.5","hh2",43.32,"51610500200"
"I.6","hh2",60.535,"51610500200"
"I.7","hh2",109.084,"51610500200"
"I.8","hh2",136.846,"51610500200"
"I.9","hh2",245.325,"51610500200"
"I.1","hh3",9.69,"51610500200"
"I.2","hh3",0.588,"51610500200"
"I.3","hh3",6.767,"51610500200"
"I.4","hh3",17.658,"51610500200"
"I.5","hh3",14.755,"51610500200"
"I.6","hh3",25.078,"51610500200"
"I.7","hh3",64.975,"51610500200"
"I.8","hh3",112.903,"51610500200"
"I.9","hh3",174.586,"51610500200"
"I.1","hh4",6.339,"51610500200"
"I.2","hh4",0.682,"51610500200"
"I.3","hh4",0,"51610500200"
"I.4","hh4",9.477,"51610500200"
"I.5","hh4",21.091,"51610500200"
"I.6","hh4",28.702,"51610500200"
"I.7","hh4",44.032,"51610500200"
"I.8","hh4",107.683,"51610500200"
"I.9","hh4",202.994,"51610500200"
"I.1","hh5",2.806,"51610500200"
"I.2","hh5",0.227,"51610500200"
"I.3","hh5",0,"51610500200"
"I.4","hh5",2.765,"51610500200"
"I.5","hh5",2.143,"51610500200"
"I.6","hh5",14.755,"51610500200"
"I.7","hh5",28.921,"51610500200"
"I.8","hh5",58.735,"51610500200"
"I.9","hh5",119.647,"51610500200"
"I.1","hh1",6.412,"51610500100"
"I.2","hh1",47.139,"51610500100"
"I.3","hh1",0,"51610500100"
"I.4","hh1",1.792,"51610500100"
"I.5","hh1",47.646,"51610500100"
"I.6","hh1",74.951,"51610500100"
"I.7","hh1",115.039,"51610500100"
"I.8","hh1",46.955,"51610500100"
"I.9","hh1",53.066,"51610500100"
"I.1","hh2",3.836,"51610500100"
"I.2","hh2",8.37,"51610500100"
"I.3","hh2",0,"51610500100"
"I.4","hh2",2.374,"51610500100"
"I.5","hh2",21.387,"51610500100"
"I.6","hh2",30.338,"51610500100"
"I.7","hh2",89.73,"51610500100"
"I.8","hh2",83.819,"51610500100"
"I.9","hh2",160.146,"51610500100"
"I.1","hh3",2.18,"51610500100"
"I.2","hh3",1.406,"51610500100"
"I.3","hh3",0,"51610500100"
"I.4","hh3",2.348,"51610500100"
"I.5","hh3",6.979,"51610500100"
"I.6","hh3",11.792,"51610500100"
"I.7","hh3",44.244,"51610500100"
"I.8","hh3",48.924,"51610500100"
"I.9","hh3",140.128,"51610500100"
"I.1","hh4",1.053,"51610500100"
"I.2","hh4",1.574,"51610500100"
"I.3","hh4",0,"51610500100"
"I.4","hh4",1.74,"51610500100"
"I.5","hh4",8.106,"51610500100"
"I.6","hh4",11.001,"51610500100"
"I.7","hh4",22.923,"51610500100"
"I.8","hh4",29.682,"51610500100"
"I.9","hh4",135.92,"51610500100"
"I.1","hh5",0.518,"51610500100"
"I.2","hh5",0.513,"51610500100"
"I.3","hh5",0,"51610500100"
"I.4","hh5",0.746,"51610500100"
"I.5","hh5",0.882,"51610500100"
"I.6","hh5",5.917,"51610500100"
"I.7","hh5",15.064,"51610500100"
"I.8","hh5",15.62,"51610500100"
"I.9","hh5",87.739,"51610500100"
"I.1","hh1",0,"51059980300"
"I.2","hh1",0,"51059980300"
"I.3","hh1",0,"51059980300"
"I.4","hh1",0,"51059980300"
"I.5","hh1",0,"51059980300"
"I.6","hh1",0,"51059980300"
"I.7","hh1",0,"51059980300"
"I.8","hh1",0,"51059980300"
"I.9","hh1",0,"51059980300"
"I.1","hh2",0,"51059980300"
"I.2","hh2",0,"51059980300"
"I.3","hh2",0,"51059980300"
"I.4","hh2",0,"51059980300"
"I.5","hh2",0,"51059980300"
"I.6","hh2",0,"51059980300"
"I.7","hh2",0,"51059980300"
"I.8","hh2",0,"51059980300"
"I.9","hh2",0,"51059980300"
"I.1","hh3",0,"51059980300"
"I.2","hh3",0,"51059980300"
"I.3","hh3",0,"51059980300"
"I.4","hh3",0,"51059980300"
"I.5","hh3",0,"51059980300"
"I.6","hh3",0,"51059980300"
"I.7","hh3",0,"51059980300"
"I.8","hh3",0,"51059980300"
"I.9","hh3",0,"51059980300"
"I.1","hh4",0,"51059980300"
"I.2","hh4",0,"51059980300"
"I.3","hh4",0,"51059980300"
"I.4","hh4",0,"51059980300"
"I.5","hh4",0,"51059980300"
"I.6","hh4",0,"51059980300"
"I.7","hh4",0,"51059980300"
"I.8","hh4",0,"51059980300"
"I.9","hh4",0,"51059980300"
"I.1","hh5",0,"51059980300"
"I.2","hh5",0,"51059980300"
"I.3","hh5",0,"51059980300"
"I.4","hh5",0,"51059980300"
"I.5","hh5",0,"51059980300"
"I.6","hh5",0,"51059980300"
"I.7","hh5",0,"51059980300"
"I.8","hh5",0,"51059980300"
"I.9","hh5",0,"51059980300"
"I.1","hh1",0,"51059980200"
"I.2","hh1",0,"51059980200"
"I.3","hh1",0,"51059980200"
"I.4","hh1",0,"51059980200"
"I.5","hh1",0,"51059980200"
"I.6","hh1",0,"51059980200"
"I.7","hh1",0,"51059980200"
"I.8","hh1",0,"51059980200"
"I.9","hh1",0,"51059980200"
"I.1","hh2",0,"51059980200"
"I.2","hh2",0,"51059980200"
"I.3","hh2",0,"51059980200"
"I.4","hh2",0,"51059980200"
"I.5","hh2",0,"51059980200"
"I.6","hh2",0,"51059980200"
"I.7","hh2",0,"51059980200"
"I.8","hh2",0,"51059980200"
"I.9","hh2",0,"51059980200"
"I.1","hh3",0,"51059980200"
"I.2","hh3",0,"51059980200"
"I.3","hh3",0,"51059980200"
"I.4","hh3",0,"51059980200"
"I.5","hh3",0,"51059980200"
"I.6","hh3",0,"51059980200"
"I.7","hh3",0,"51059980200"
"I.8","hh3",0,"51059980200"
"I.9","hh3",0,"51059980200"
"I.1","hh4",0,"51059980200"
"I.2","hh4",0,"51059980200"
"I.3","hh4",0,"51059980200"
"I.4","hh4",0,"51059980200"
"I.5","hh4",0,"51059980200"
"I.6","hh4",0,"51059980200"
"I.7","hh4",0,"51059980200"
"I.8","hh4",0,"51059980200"
"I.9","hh4",0,"51059980200"
"I.1","hh5",0,"51059980200"
"I.2","hh5",0,"51059980200"
"I.3","hh5",0,"51059980200"
"I.4","hh5",0,"51059980200"
"I.5","hh5",0,"51059980200"
"I.6","hh5",0,"51059980200"
"I.7","hh5",0,"51059980200"
"I.8","hh5",0,"51059980200"
"I.9","hh5",0,"51059980200"
"I.1","hh1",0,"51059980100"
"I.2","hh1",0,"51059980100"
"I.3","hh1",0,"51059980100"
"I.4","hh1",0,"51059980100"
"I.5","hh1",5,"51059980100"
"I.6","hh1",0,"51059980100"
"I.7","hh1",0,"51059980100"
"I.8","hh1",0,"51059980100"
"I.9","hh1",0,"51059980100"
"I.1","hh2",0,"51059980100"
"I.2","hh2",0,"51059980100"
"I.3","hh2",0,"51059980100"
"I.4","hh2",0,"51059980100"
"I.5","hh2",0,"51059980100"
"I.6","hh2",0,"51059980100"
"I.7","hh2",0,"51059980100"
"I.8","hh2",0,"51059980100"
"I.9","hh2",0,"51059980100"
"I.1","hh3",0,"51059980100"
"I.2","hh3",0,"51059980100"
"I.3","hh3",0,"51059980100"
"I.4","hh3",0,"51059980100"
"I.5","hh3",0,"51059980100"
"I.6","hh3",0,"51059980100"
"I.7","hh3",0,"51059980100"
"I.8","hh3",0,"51059980100"
"I.9","hh3",0,"51059980100"
"I.1","hh4",0,"51059980100"
"I.2","hh4",0,"51059980100"
"I.3","hh4",0,"51059980100"
"I.4","hh4",0,"51059980100"
"I.5","hh4",0,"51059980100"
"I.6","hh4",0,"51059980100"
"I.7","hh4",0,"51059980100"
"I.8","hh4",0,"51059980100"
"I.9","hh4",0,"51059980100"
"I.1","hh5",0,"51059980100"
"I.2","hh5",0,"51059980100"
"I.3","hh5",0,"51059980100"
"I.4","hh5",0,"51059980100"
"I.5","hh5",0,"51059980100"
"I.6","hh5",0,"51059980100"
"I.7","hh5",0,"51059980100"
"I.8","hh5",0,"51059980100"
"I.9","hh5",0,"51059980100"
"I.1","hh1",0,"51059492500"
"I.2","hh1",18.949,"51059492500"
"I.3","hh1",9.602,"51059492500"
"I.4","hh1",10.948,"51059492500"
"I.5","hh1",16.992,"51059492500"
"I.6","hh1",19.419,"51059492500"
"I.7","hh1",73.448,"51059492500"
"I.8","hh1",40.684,"51059492500"
"I.9","hh1",67.959,"51059492500"
"I.1","hh2",0,"51059492500"
"I.2","hh2",11.572,"51059492500"
"I.3","hh2",3.654,"51059492500"
"I.4","hh2",7.137,"51059492500"
"I.5","hh2",11.808,"51059492500"
"I.6","hh2",23.197,"51059492500"
"I.7","hh2",91.878,"51059492500"
"I.8","hh2",116.951,"51059492500"
"I.9","hh2",390.803,"51059492500"
"I.1","hh3",0,"51059492500"
"I.2","hh3",1.479,"51059492500"
"I.3","hh3",3.497,"51059492500"
"I.4","hh3",3.37,"51059492500"
"I.5","hh3",5.833,"51059492500"
"I.6","hh3",10.979,"51059492500"
"I.7","hh3",22.404,"51059492500"
"I.8","hh3",23.235,"51059492500"
"I.9","hh3",78.204,"51059492500"
"I.1","hh4",0,"51059492500"
"I.2","hh4",1.794,"51059492500"
"I.3","hh4",1.787,"51059492500"
"I.4","hh4",2.917,"51059492500"
"I.5","hh4",4.31,"51059492500"
"I.6","hh4",12.132,"51059492500"
"I.7","hh4",32.531,"51059492500"
"I.8","hh4",23.769,"51059492500"
"I.9","hh4",89.759,"51059492500"
"I.1","hh5",0,"51059492500"
"I.2","hh5",2.206,"51059492500"
"I.3","hh5",4.461,"51059492500"
