"","puma","serialno","hh_comb","index","hh_size_recode","hh_income_cat","hh_income"
"2739","59301","2021HU1152720","8:431000",35,5,"$100,000 to $149,999",109000
"2740","59301","2021HU1155848","1:100000",1,1,"Less than $15,000",12200
"2741","59301","2021HU1157854","1:100000",1,1,"Less than $15,000",1000
"2742","59301","2021HU1158170","2:200000",42,2,"$200,000 or more",232000
"2743","59301","2021HU1164483","7:610000",35,5,"$100,000 to $149,999",103400
"2744","59301","2021HU1166093","3:300000",43,3,"$200,000 or more",317200
"2745","59301","2021HU1166156","1:100000",21,1,"$50,000 to $74,999",57700
"2746","59301","2021HU1167170","1:100000",26,1,"$75,000 to $99,999",80000
"2747","59301","2021HU1167484","2:200000",32,2,"$100,000 to $149,999",139000
"2748","59301","2021HU1171800","5:202100",40,5,"$150,000 to $199,999",160000
"2749","59301","2021HU1176260","6:411000",45,5,"$200,000 or more",299000
"2750","59301","2021HU1176662","3:300000",43,3,"$200,000 or more",210000
"2751","59301","2021HU1184291","1:100000",21,1,"$50,000 to $74,999",61300
"2752","59301","2021HU1185802","6:222000",15,5,"$25,000 to $34,999",28000
"2753","59301","2021HU1188501","4:400000",44,4,"$200,000 or more",338000
"2754","59301","2021HU1190355","1:100000",31,1,"$100,000 to $149,999",100050
"2755","59301","2021HU1191332","2:200000",37,2,"$150,000 to $199,999",194300
"2756","59301","2021HU1192211","2:200000",42,2,"$200,000 or more",219000
"2757","59301","2021HU1193942","2:200000",27,2,"$75,000 to $99,999",87600
"2758","59301","2021HU1195992","1:100000",1,1,"Less than $15,000",7400
"2759","59301","2021HU1196551","4:210001",24,4,"$50,000 to $74,999",61000
"2760","59301","2021HU1197331","1:100000",21,1,"$50,000 to $74,999",65400
"2761","59301","2021HU1201930","1:100000",26,1,"$75,000 to $99,999",92200
"2762","59301","2021HU1206678","4:201010",24,4,"$50,000 to $74,999",54000
"2763","59301","2021HU1206929","5:401000",45,5,"$200,000 or more",217900
"2764","59301","2021HU1207783","1:100000",6,1,"$15,000 to $24,999",20000
"2765","59301","2021HU1209306","2:200000",42,2,"$200,000 or more",216000
"2766","59301","2021HU1210662","3:300000",43,3,"$200,000 or more",390100
"2767","59301","2021HU1216246","8:412001",45,5,"$200,000 or more",239200
"2768","59301","2021HU1218763","4:310000",39,4,"$150,000 to $199,999",187600
"2769","59301","2021HU1219577","4:400000",34,4,"$100,000 to $149,999",105420
"2770","59301","2021HU1227117","4:201010",44,4,"$200,000 or more",240000
"2771","59301","2021HU1228189","3:300000",43,3,"$200,000 or more",256500
"2772","59301","2021HU1233445","1:100000",11,1,"$25,000 to $34,999",25900
"2773","59301","2021HU1233881","2:200000",32,2,"$100,000 to $149,999",105300
"2774","59301","2021HU1235542","2:200000",32,2,"$100,000 to $149,999",135000
"2775","59301","2021HU1237227","1:100000",26,1,"$75,000 to $99,999",84000
"2776","59301","2021HU1240039","1:100000",NA,1,NA,0
"2777","59301","2021HU1242253","4:220000",44,4,"$200,000 or more",338000
"2778","59301","2021HU1243405","1:100000",31,1,"$100,000 to $149,999",130300
"2779","59301","2021HU1244308","4:200200",44,4,"$200,000 or more",375000
"2780","59301","2021HU1246809","3:201000",43,3,"$200,000 or more",421000
"2781","59301","2021HU1251029","1:100000",26,1,"$75,000 to $99,999",88500
"2782","59301","2021HU1251808","2:200000",37,2,"$150,000 to $199,999",199000
"2783","59301","2021HU1253900","1:100000",31,1,"$100,000 to $149,999",112000
"2784","59301","2021HU1256731","4:220000",44,4,"$200,000 or more",3e+05
"2785","59301","2021HU1257354","3:300000",43,3,"$200,000 or more",283500
"2786","59301","2021HU1259135","2:200000",32,2,"$100,000 to $149,999",144380
"2787","59301","2021HU1261074","4:200020",39,4,"$150,000 to $199,999",168500
"2788","59301","2021HU1262531","1:100000",31,1,"$100,000 to $149,999",108900
"2789","59301","2021HU1263686","6:600000",25,5,"$50,000 to $74,999",53600
"2790","59301","2021HU1265108","4:400000",44,4,"$200,000 or more",272000
"2791","59301","2021HU1265331","2:200000",42,2,"$200,000 or more",438000
"2792","59301","2021HU1270121","5:221000",45,5,"$200,000 or more",609200
"2793","59301","2021HU1273415","3:300000",23,3,"$50,000 to $74,999",55400
"2794","59301","2021HU1276476","4:310000",24,4,"$50,000 to $74,999",64600
"2795","59301","2021HU1278915","7:402010",45,5,"$200,000 or more",303000
"2796","59301","2021HU1279663","2:200000",42,2,"$200,000 or more",348000
"2797","59301","2021HU1284660","4:310000",34,4,"$100,000 to $149,999",145400
"2798","59301","2021HU1286113","4:220000",44,4,"$200,000 or more",3e+05
"2799","59301","2021HU1288657","1:100000",36,1,"$150,000 to $199,999",165030
"2800","59301","2021HU1289237","1:100000",6,1,"$15,000 to $24,999",21100
"2801","59301","2021HU1290764","2:200000",37,2,"$150,000 to $199,999",150000
"2802","59301","2021HU1296109","1:100000",21,1,"$50,000 to $74,999",63000
"2803","59301","2021HU1296463","1:100000",36,1,"$150,000 to $199,999",152000
"2804","59301","2021HU1301903","4:201100",24,4,"$50,000 to $74,999",54100
"2805","59301","2021HU1307978","3:200001",33,3,"$100,000 to $149,999",128510
"2806","59301","2021HU1308870","2:200000",2,2,"Less than $15,000",3500
"2807","59301","2021HU1313400","3:300000",43,3,"$200,000 or more",242300
"2808","59301","2021HU1320134","7:411100",40,5,"$150,000 to $199,999",190300
"2809","59301","2021HU1322471","3:210000",33,3,"$100,000 to $149,999",108000
"2810","59301","2021HU1329608","2:200000",32,2,"$100,000 to $149,999",107400
"2811","59301","2021HU1330881","3:300000",43,3,"$200,000 or more",205900
"2812","59301","2021HU1332547","2:200000",42,2,"$200,000 or more",222000
"2813","59301","2021HU1335189","2:200000",37,2,"$150,000 to $199,999",191670
"2814","59301","2021HU1336546","4:210100",44,4,"$200,000 or more",248000
"2815","59301","2021HU1337182","3:200010",38,3,"$150,000 to $199,999",187000
"2816","59301","2021HU1337407","3:210000",38,3,"$150,000 to $199,999",164000
"2817","59301","2021HU1337525","5:202100",35,5,"$100,000 to $149,999",141000
"2818","59301","2021HU1338343","1:100000",41,1,"$200,000 or more",230000
"2819","59301","2021HU1339396","2:200000",32,2,"$100,000 to $149,999",149800
"2820","59301","2021HU1340979","2:200000",22,2,"$50,000 to $74,999",60000
"2821","59301","2021HU1344260","2:200000",42,2,"$200,000 or more",244000
"2822","59301","2021HU1344368","3:300000",38,3,"$150,000 to $199,999",182800
"2823","59301","2021HU1348723","4:200020",19,4,"$35,000 to $49,999",40000
"2824","59301","2021HU1348892","2:200000",27,2,"$75,000 to $99,999",93400
"2825","59301","2021HU1352663","7:223000",45,5,"$200,000 or more",245000
"2826","59301","2021HU1353786","1:100000",16,1,"$35,000 to $49,999",44470
"2827","59301","2021HU1355592","2:200000",42,2,"$200,000 or more",222000
"2828","59301","2021HU1359201","1:100000",36,1,"$150,000 to $199,999",152000
"2829","59301","2021HU1359423","2:200000",42,2,"$200,000 or more",222900
"2830","59301","2021HU1365089","3:300000",28,3,"$75,000 to $99,999",94800
"2831","59301","2021HU1375958","2:200000",42,2,"$200,000 or more",211250
"2832","59301","2021HU1376666","3:300000",43,3,"$200,000 or more",532780
"2833","59301","2021HU1381589","1:100000",16,1,"$35,000 to $49,999",47000
"2834","59301","2021HU1381637","2:200000",32,2,"$100,000 to $149,999",141000
"2835","59301","2021HU1386815","3:300000",8,3,"$15,000 to $24,999",22400
"2836","59301","2021HU1392769","4:400000",29,4,"$75,000 to $99,999",85000
"2837","59301","2021HU1397930","8:520001",45,5,"$200,000 or more",643000
"2838","59301","2021HU1401257","1:100000",26,1,"$75,000 to $99,999",75000
"2839","59301","2021HU1403590","3:300000",33,3,"$100,000 to $149,999",112000
"2840","59301","2021HU1405513","2:200000",42,2,"$200,000 or more",788000
"2841","59301","2021HU1412211","3:300000",33,3,"$100,000 to $149,999",143600
"2842","59301","2021HU1413008","2:200000",42,2,"$200,000 or more",393000
"2843","59301","2021HU1414995","1:100000",31,1,"$100,000 to $149,999",135500
"2844","59301","2021HU1415234","1:100000",26,1,"$75,000 to $99,999",92900
"2845","59302","2017000000694","2:200000",32,2,"$100,000 to $149,999",130000
"2846","59302","2017000002348","2:200000",37,2,"$150,000 to $199,999",180000
"2847","59302","2017000004140","5:211100",25,5,"$50,000 to $74,999",60000
"2848","59302","2017000009608","1:100000",21,1,"$50,000 to $74,999",52000
"2849","59302","2017000009793","4:211000",39,4,"$150,000 to $199,999",158500
"2850","59302","2017000010758","6:300111",25,5,"$50,000 to $74,999",56400
"2851","59302","2017000014141","2:200000",37,2,"$150,000 to $199,999",170600
"2852","59302","2017000016678","1:100000",11,1,"$25,000 to $34,999",26000
"2853","59302","2017000019186","1:100000",31,1,"$100,000 to $149,999",137500
"2854","59302","2017000020576","2:200000",12,2,"$25,000 to $34,999",32000
"2855","59302","2017000026593","1:100000",1,1,"Less than $15,000",4000
"2856","59302","2017000028691","3:201000",28,3,"$75,000 to $99,999",86000
"2857","59302","2017000035185","2:200000",32,2,"$100,000 to $149,999",134000
"2858","59302","2017000040107","2:200000",22,2,"$50,000 to $74,999",66800
"2859","59302","2017000041873","1:100000",1,1,"Less than $15,000",12000
"2860","59302","2017000046776","2:200000",32,2,"$100,000 to $149,999",103250
"2861","59302","2017000049871","6:600000",25,5,"$50,000 to $74,999",63700
"2862","59302","2017000051197","2:200000",37,2,"$150,000 to $199,999",179770
"2863","59302","2017000057575","2:200000",42,2,"$200,000 or more",250000
"2864","59302","2017000061669","5:230000",30,5,"$75,000 to $99,999",90000
"2865","59302","2017000063758","2:200000",27,2,"$75,000 to $99,999",92000
"2866","59302","2017000065349","1:100000",21,1,"$50,000 to $74,999",54000
"2867","59302","2017000065445","2:200000",17,2,"$35,000 to $49,999",37000
"2868","59302","2017000065620","1:100000",21,1,"$50,000 to $74,999",50000
"2869","59302","2017000075252","3:201000",33,3,"$100,000 to $149,999",140000
"2870","59302","2017000076992","3:200010",33,3,"$100,000 to $149,999",145000
"2871","59302","2017000078535","4:400000",44,4,"$200,000 or more",233100
"2872","59302","2017000079974","1:100000",26,1,"$75,000 to $99,999",78400
"2873","59302","2017000083097","2:200000",32,2,"$100,000 to $149,999",124000
"2874","59302","2017000086427","2:200000",12,2,"$25,000 to $34,999",28500
"2875","59302","2017000087903","2:200000",37,2,"$150,000 to $199,999",158000
"2876","59302","2017000088994","3:200100",33,3,"$100,000 to $149,999",144800
"2877","59302","2017000089182","2:200000",32,2,"$100,000 to $149,999",146610
"2878","59302","2017000099827","3:300000",18,3,"$35,000 to $49,999",48090
"2879","59302","2017000101025","2:200000",37,2,"$150,000 to $199,999",195800
"2880","59302","2017000101986","1:100000",26,1,"$75,000 to $99,999",80000
"2881","59302","2017000102896","6:112020",20,5,"$35,000 to $49,999",35600
"2882","59302","2017000105164","2:200000",22,2,"$50,000 to $74,999",61100
"2883","59302","2017000105561","3:300000",23,3,"$50,000 to $74,999",56000
"2884","59302","2017000111425","1:100000",1,1,"Less than $15,000",5520
"2885","59302","2017000111985","1:100000",31,1,"$100,000 to $149,999",125000
"2886","59302","2017000112326","3:300000",33,3,"$100,000 to $149,999",136500
"2887","59302","2017000113122","1:100000",26,1,"$75,000 to $99,999",83000
"2888","59302","2017000117710","4:202000",44,4,"$200,000 or more",694500
"2889","59302","2017000119646","3:300000",38,3,"$150,000 to $199,999",161200
"2890","59302","2017000120175","2:200000",37,2,"$150,000 to $199,999",161000
"2891","59302","2017000124581","1:100000",36,1,"$150,000 to $199,999",160000
"2892","59302","2017000126797","2:200000",37,2,"$150,000 to $199,999",183000
"2893","59302","2017000130092","4:220000",44,4,"$200,000 or more",205200
"2894","59302","2017000130944","2:200000",22,2,"$50,000 to $74,999",59500
